id;raison_sociale;abreviation;activite;forme_juridique;adresse;code_postale;ville;pays;region;tel;fax;mail;site_internet;matricule_fiscale;logo;logo_content_type;images_site_principale;images_site_principale_content_type;holding;etat;date_creation;date_activation;date_cloture;import_template;import_template_content_type;code_societe;code_organigramme
1;composite Fresh Texas;Viaduct Hat Federation;pixel generate wireless;grey Steel Buckinghamshire;technologies Handcrafted;overriding Bedfordshire;Plastic Licensed;value-added;Cambridgeshire parsing Investor;interface USB;SDD;project TCP;technologies Frozen Tactics;framework purple;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Cheese Bahamas;CLOSED;2026-05-22T05:25:26;2026-05-21T09:02:38;2026-05-21T12:33:06;../fake-data/blob/hipster.png;image/png;Bulgarian;Clothing PNG Cloned
2;Handcrafted;e-business Wooden;Health encoding;migration transmit;Enhanced;monitoring B2C;Ville structure Awesome;Orchestrator methodical Managed;Licensed disintermediate;infomediaries Paradigm;Handcrafted CFP Steel;calculate microchip;Extended;quantify;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Product architectures Automotive;DRAFT;2026-05-21T13:05:11;2026-05-22T01:30:16;2026-05-21T13:40:57;../fake-data/blob/hipster.png;image/png;Automotive matrix SQL;Pants
3;Licensed Granite;Principal;services;Business-focused Bedfordshire Sausages;Officer transmitting;digital;cutting-edge Bridge;user;firewall;Glen tertiary;deposit;Mouse attitude-oriented withdrawal;green Pants;orange;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Shoals;CANCELED;2026-05-21T18:13:54;2026-05-22T07:01:26;2026-05-21T10:33:56;../fake-data/blob/hipster.png;image/png;black;Syrian Cambridgeshire
4;Bacon Planner;Markets;Sausages;global Quality;Hat Refined;Sleek;Legacy drive systems;Identity Bedfordshire;Direct;Tuna Orchestrator Nebraska;Card Steel;Corporate withdrawal;Program Fantastic;SCSI program;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;User-centric Music;CANCELED;2026-05-21T19:48:28;2026-05-21T08:52:38;2026-05-22T08:43:25;../fake-data/blob/hipster.png;image/png;Tunisia Kids;back-end Steel deliver
5;uniform;SMTP index;Tools Computer;Salad Mount;redundant Personal Chief;responsive;web-readiness transmitter neural;payment;deposit;parsing Ball;Metal;Mews deposit Estates;feed Shilling;Forward;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Health;INEXECUTION;2026-05-22T06:32:09;2026-05-21T22:48:13;2026-05-22T01:36:32;../fake-data/blob/hipster.png;image/png;copy array Pound;Handmade Direct
6;Wooden seize;quantify;index;primary generate;port;Hat;deposit Berkshire;Configuration Grass-roots;system;workforce virtual;HDD Yemen;Generic;generate scale schemas;Borders Re-engineered Sheqel;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Berkshire rich protocol;DRAFT;2026-05-21T12:31:27;2026-05-21T23:17:12;2026-05-22T01:29:20;../fake-data/blob/hipster.png;image/png;SDD robust Synergistic;Soft infrastructures multi-byte
7;1080p bricks-and-clicks Global;Lempira archive;compressing USB violet;out-of-the-box toolset;online;Tactics monitor;Shirt interface model;blue Generic Refined;Practical;sky;Intelligent hour;Expressway Fantastic;facilitate pink;Palladium;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Incredible pink deposit;CANCELED;2026-05-21T20:27:46;2026-05-22T00:31:54;2026-05-21T16:45:58;../fake-data/blob/hipster.png;image/png;yellow transmitter generate;Borders synthesize calculating
8;Concrete Accountability program;visualize;back;Kwanza Auto Finland;circuit;primary portals Alaska;experiences Texas Dinar;hard Soft coherent;Assurance functionalities Connecticut;copying compressing;enhance Rustic paradigms;Bike;facilitate Virtual;payment Managed Shirt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;holistic Colorado;INEXECUTION;2026-05-21T19:58:07;2026-05-21T15:45:01;2026-05-22T03:53:37;../fake-data/blob/hipster.png;image/png;Avon Concrete Technician;Borders invoice
9;array Rustic;Account Music Handmade;experiences Paradigm;schemas transparent;Loan;sensor connect;Chips;installation;Ports Tuna mission-critical;Intelligent;Internal;neural-net parse;even-keeled back-end;orchid;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;intranet Metrics pink;ACTIF;2026-05-22T07:24:45;2026-05-22T08:21:23;2026-05-21T15:48:05;../fake-data/blob/hipster.png;image/png;invoice gold definition;Algeria Lithuania Secured
10;Specialist;monitoring;Singapore synergy;deposit Global archive;card Data Arkansas;JBOD Garden connect;synthesizing Brazilian;Automated;lime;bypassing Japan Metal;seize;indexing SDR;green;SMS cyan Ball;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Market parsing;CLOSED;2026-05-21T08:56:35;2026-05-22T00:29:56;2026-05-22T04:17:11;../fake-data/blob/hipster.png;image/png;SCSI Object-based deposit;Public-key Buckinghamshire
